subject,title,url,description,text,cluster
data structures,GeeksforGeeks DSA Playlist,https://www.youtube.com/playlist?list=PLqM7alHXFySHaLWhNsxV4oKXz_0T5mU3S,"Intro to arrays, linked lists, stacks, queues.","data structures Intro to arrays, linked lists, stacks, queues.",3
algorithms,CLRS Algorithms Notes,https://web.mit.edu/~16.070/www/lecture/big_o.pdf,"Big-O, sorting, searching, basic algorithm design.","algorithms Big-O, sorting, searching, basic algorithm design.",1
python,Python Official Tutorial,https://docs.python.org/3/tutorial/,"Basics of Python syntax, control flow, functions.","python Basics of Python syntax, control flow, functions.",0
machine learning,Andrew Ng ML Course,https://www.coursera.org/learn/machine-learning,"Supervised learning, regression, classification basics.","machine learning Supervised learning, regression, classification basics.",2
deep learning,DeepLearning.ai Course,https://www.coursera.org/specializations/deep-learning,"Neural networks, backpropagation, CNNs.","deep learning Neural networks, backpropagation, CNNs.",2
nlp,NLTK Book,https://www.nltk.org/book/,"Tokenization, POS tagging, text processing.","nlp Tokenization, POS tagging, text processing.",0
math,Khan Academy â€“ Algebra,https://www.khanacademy.org/math/algebra,Algebra basics for CS and ML.,math Algebra basics for CS and ML.,4
probability,Probability Cheatsheet,https://static1.squarespace.com/static/54bf3e9ee4b0f0d81bf7ff36/t/5e51ff7d9f2f120d8e9501c6/1582428286182/probability_cheatsheet_140.pdf,Core probability formulas and intuition.,probability Core probability formulas and intuition.,4
data structures,NeetCode DSA Roadmap,https://neetcode.io/roadmap,Structured DSA practice path.,data structures Structured DSA practice path.,3
algorithms,USACO Guide,https://usaco.guide/,Competitive programming algorithms and problems.,algorithms Competitive programming algorithms and problems.,1
